country,alpha_3_code,value
Afghanistan,AFG,0.661
Angola,AGO,0.515
Albania,ALB,0.107
United Arab Emirates,ARE,0.04
Argentina,ARG,0.264
Armenia,ARM,0.18
Antigua and Barbuda,ATG,0.24
Australia,AUS,0.056
Austria,AUT,0.033
Azerbaijan,AZE,0.315
Burundi,BDI,0.501
Belgium,BEL,0.031
Benin,BEN,0.573
Burkina Faso,BFA,0.555
Bangladesh,BGD,0.487
Bulgaria,BGR,0.208
Bahrain,BHR,0.165
Bahamas,BHS,0.325
Bosnia and Herzegovina,BIH,0.157
Belarus,BLR,0.08
Belize,BLZ,0.428
Bolivia (Plurinational State of),BOL,0.419
Brazil,BRA,0.39
Barbados,BRB,0.297
Brunei Darussalam,BRN,0.257
Bhutan,BTN,0.278
Botswana,BWA,0.49
Canada,CAN,0.052
Switzerland,CHE,0.01
Chile,CHL,0.102
China,CHN,0.132
Côte d’Ivoire,CIV,0.589
Cameroon,CMR,0.558
Democratic Republic of the Congo,COD,0.604
Congo,COG,0.565
Colombia,COL,0.393
Comoros,COM,0.501
Cabo Verde,CPV,0.298
Costa Rica,CRI,0.217
Cuba,CUB,0.296
Cyprus,CYP,0.252
Czechia,CZE,0.088
Germany,DEU,0.057
Djibouti,DJI,0.481
Denmark,DNK,0.003
Dominican Republic,DOM,0.417
Algeria,DZA,0.443
Ecuador,ECU,0.358
Egypt,EGY,0.398
Spain,ESP,0.043
Estonia,EST,0.061
Ethiopia,ETH,0.497
Finland,FIN,0.021
Fiji,FJI,0.35
France,FRA,0.034
Gabon,GAB,0.505
United Kingdom of Great Britain and Northern Ireland,GBR,0.083
Georgia,GEO,0.257
Ghana,GHA,0.514
Guinea,GIN,0.609
Gambia,GMB,0.578
Guinea-Bissau,GNB,0.632
Greece,GRC,0.103
Grenada,GRD,0.226
Guatemala,GTM,0.48
Guyana,GUY,0.427
High human development,HHD,0.334
Honduras,HND,0.437
Croatia,HRV,0.074
Haiti,HTI,0.618
Hungary,HUN,0.213
Indonesia,IDN,0.423
India,IND,0.403
Ireland,IRL,0.054
Iran (Islamic Republic of),IRN,0.482
Iraq,IRQ,0.558
Iceland,ISL,0.024
Israel,ISR,0.08
Italy,ITA,0.043
Jamaica,JAM,0.358
Jordan,JOR,0.433
Japan,JPN,0.059
Kazakhstan,KAZ,0.182
Kenya,KEN,0.526
Kyrgyzstan,KGZ,0.34
Cambodia,KHM,0.506
Republic of Korea,KOR,0.038
Kuwait,KWT,0.188
Lao People's Democratic Republic,LAO,0.475
Lebanon,LBN,0.36
Liberia,LBR,0.646
Libya,LBY,0.253
Saint Lucia,LCA,0.327
Low human development,LHD,0.571
Sri Lanka,LKA,0.367
Lesotho,LSO,0.534
Lithuania,LTU,0.07
Luxembourg,LUX,0.044
Latvia,LVA,0.117
Morocco,MAR,0.438
Republic of Moldova,MDA,0.146
Madagascar,MDG,0.584
Maldives,MDV,0.309
Mexico,MEX,0.358
Medium human development,MHD,0.513
North Macedonia,MKD,0.112
Mali,MLI,0.612
Malta,MLT,0.111
Myanmar,MMR,0.478
Montenegro,MNE,0.121
Mongolia,MNG,0.284
Mozambique,MOZ,0.479
Mauritania,MRT,0.603
Mauritius,MUS,0.352
Malawi,MWI,0.581
Malaysia,MYS,0.172
Namibia,NAM,0.448
Niger,NER,0.591
Nigeria,NGA,0.677
Nicaragua,NIC,0.408
Netherlands,NLD,0.013
Norway,NOR,0.004
Nepal,NPL,0.487
New Zealand,NZL,0.082
Oman,OMN,0.222
Pakistan,PAK,0.536
Panama,PAN,0.374
Peru,PER,0.34
Philippines,PHL,0.351
Papua New Guinea,PNG,0.584
Poland,POL,0.081
Portugal,PRT,0.076
Paraguay,PRY,0.412
Qatar,QAT,0.195
Romania,ROU,0.227
Russian Federation,RUS,0.169
Rwanda,RWA,0.394
Saudi Arabia,SAU,0.228
Sudan,SDN,0.588
Senegal,SEN,0.49
Singapore,SGP,0.031
Solomon Islands,SLB,0.478
Sierra Leone,SLE,0.566
El Salvador,SLV,0.362
Somalia,SOM,0.675
Serbia,SRB,0.117
Sao Tome and Principe,STP,0.492
Suriname,SUR,0.391
Slovakia,SVK,0.176
Slovenia,SVN,0.042
Sweden,SWE,0.007
Eswatini,SWZ,0.484
Syrian Arab Republic,SYR,0.49
Chad,TCD,0.67
Togo,TGO,0.564
Thailand,THA,0.288
Tajikistan,TJK,0.258
Timor-Leste,TLS,0.394
Tonga,TON,0.444
Trinidad and Tobago,TTO,0.262
Tunisia,TUN,0.238
Türkiye,TUR,0.227
United Republic of Tanzania,TZA,0.504
Uganda,UGA,0.524
Arab States,UNDP_AS,0.539
East Asia & Pacific,UNDP_EAP,0.315
Europe & Central Asia (currently Europe & Central Asia (excluding high income)),UNDP_ECA,0.226
Latin America and the Caribbean,UNDP_LAC,0.384
South Asia,UNDP_SA,0.458
Sub-Saharan Africa,UNDP_SSA,0.558
Uruguay,URY,0.218
United States of America,USA,0.169
Uzbekistan,UZB,0.291
Venezuela (Bolivarian Republic of),VEN,0.512
Very high human development,VHD,0.125
Viet Nam,VNM,0.299
Vanuatu,VUT,0.556
World,WLD,0.455
Samoa,WSM,0.416
Yemen,YEM,0.838
South Africa,ZAF,0.388
Zambia,ZMB,0.524
Zimbabwe,ZWE,0.519
